Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","1990","1990","3050","FAO TIER 1","kt","6680.3668","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","1990","1990","3050","FAO TIER 1","kt","316.3454","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","1990","1990","3050","FAO TIER 1","kt","1770164.8215","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","1991","1991","3050","FAO TIER 1","kt","6680.3668","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","1991","1991","3050","FAO TIER 1","kt","316.3454","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","1991","1991","3050","FAO TIER 1","kt","1770164.8215","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","1992","1992","3050","FAO TIER 1","kt","6680.3668","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","1992","1992","3050","FAO TIER 1","kt","316.3454","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","1992","1992","3050","FAO TIER 1","kt","1770164.8215","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","1993","1993","3050","FAO TIER 1","kt","6680.3668","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","1993","1993","3050","FAO TIER 1","kt","316.3454","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","1993","1993","3050","FAO TIER 1","kt","1770598.45","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","1994","1994","3050","FAO TIER 1","kt","6680.3668","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","1994","1994","3050","FAO TIER 1","kt","316.3454","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","1994","1994","3050","FAO TIER 1","kt","1770265.4129","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","1995","1995","3050","FAO TIER 1","kt","6680.3668","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","1995","1995","3050","FAO TIER 1","kt","316.3454","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","1995","1995","3050","FAO TIER 1","kt","1775872.9956","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","1996","1996","3050","FAO TIER 1","kt","5638.4958","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","1996","1996","3050","FAO TIER 1","kt","167.4688","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","1996","1996","3050","FAO TIER 1","kt","1636157.22","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","1997","1997","3050","FAO TIER 1","kt","16181.6044","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","1997","1997","3050","FAO TIER 1","kt","221.4541","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","1997","1997","3050","FAO TIER 1","kt","2325999.7098","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","1998","1998","3050","FAO TIER 1","kt","10931.136","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","1998","1998","3050","FAO TIER 1","kt","278.605","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","1998","1998","3050","FAO TIER 1","kt","1770012.0533","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","1999","1999","3050","FAO TIER 1","kt","7869.2964","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","1999","1999","3050","FAO TIER 1","kt","217.4651","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","1999","1999","3050","FAO TIER 1","kt","1673678.8586","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2000","2000","3050","FAO TIER 1","kt","4841.8956","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2000","2000","3050","FAO TIER 1","kt","147.6796","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2000","2000","3050","FAO TIER 1","kt","1621536.7552","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2001","2001","3050","FAO TIER 1","kt","2667.1317","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2001","2001","3050","FAO TIER 1","kt","209.8199","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2001","2001","3050","FAO TIER 1","kt","1344163.6385","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2002","2002","3050","FAO TIER 1","kt","7877.0737","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2002","2002","3050","FAO TIER 1","kt","267.1584","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2002","2002","3050","FAO TIER 1","kt","1717420.2074","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2003","2003","3050","FAO TIER 1","kt","5572.1463","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2003","2003","3050","FAO TIER 1","kt","364.8109","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2003","2003","3050","FAO TIER 1","kt","1445669.145","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2004","2004","3050","FAO TIER 1","kt","9098.4762","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2004","2004","3050","FAO TIER 1","kt","382.5804","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2004","2004","3050","FAO TIER 1","kt","1718345.1657","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2005","2005","3050","FAO TIER 1","kt","6336.8231","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2005","2005","3050","FAO TIER 1","kt","367.432","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2005","2005","3050","FAO TIER 1","kt","1512819.5167","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2006","2006","3050","FAO TIER 1","kt","9623.0706","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2006","2006","3050","FAO TIER 1","kt","342.0775","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2006","2006","3050","FAO TIER 1","kt","1806747.5915","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2007","2007","3050","FAO TIER 1","kt","4867.4857","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2007","2007","3050","FAO TIER 1","kt","395.9747","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2007","2007","3050","FAO TIER 1","kt","1379656.8474","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2008","2008","3050","FAO TIER 1","kt","4060.8421","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2008","2008","3050","FAO TIER 1","kt","338.3204","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2008","2008","3050","FAO TIER 1","kt","1369502.2779","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2009","2009","3050","FAO TIER 1","kt","7667.2738","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2009","2009","3050","FAO TIER 1","kt","330.0823","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2009","2009","3050","FAO TIER 1","kt","1672063.833","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2010","2010","3050","FAO TIER 1","kt","5105.4204","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2010","2010","3050","FAO TIER 1","kt","429.1058","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2010","2010","3050","FAO TIER 1","kt","1382221.1395","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2011","2011","3050","FAO TIER 1","kt","5544.4637","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2011","2011","3050","FAO TIER 1","kt","323.728","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2011","2011","3050","FAO TIER 1","kt","306490.4991","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2012","2012","3050","FAO TIER 1","kt","5932.0935","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2012","2012","3050","FAO TIER 1","kt","351.9848","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2012","2012","3050","FAO TIER 1","kt","316573.3304","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2013","2013","3050","FAO TIER 1","kt","5222.8665","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2013","2013","3050","FAO TIER 1","kt","308.6584","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2013","2013","3050","FAO TIER 1","kt","298845.9933","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2014","2014","3050","FAO TIER 1","kt","8524.228","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2014","2014","3050","FAO TIER 1","kt","316.001","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2014","2014","3050","FAO TIER 1","kt","563231.8185","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2015","2015","3050","FAO TIER 1","kt","9252.4381","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2015","2015","3050","FAO TIER 1","kt","355.5383","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2015","2015","3050","FAO TIER 1","kt","586909.2921","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2016","2016","3050","FAO TIER 1","kt","4598.048","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2016","2016","3050","FAO TIER 1","kt","358.7669","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2016","2016","3050","FAO TIER 1","kt","1181887.4012","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2017","2017","3050","FAO TIER 1","kt","4097.767","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2017","2017","3050","FAO TIER 1","kt","352.3307","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2017","2017","3050","FAO TIER 1","kt","1148269.6165","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2018","2018","3050","FAO TIER 1","kt","5279.9214","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2018","2018","3050","FAO TIER 1","kt","299.2183","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2018","2018","3050","FAO TIER 1","kt","1294928.7063","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2019","2019","3050","FAO TIER 1","kt","8279.0684","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2019","2019","3050","FAO TIER 1","kt","376.7807","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2019","2019","3050","FAO TIER 1","kt","1471727.8452","E","Estimated value",""
"GT","Emissions totals","001","World","7225","Emissions (CH4)","1707","LULUCF","2020","2020","3050","FAO TIER 1","kt","4429.4169","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","1707","LULUCF","2020","2020","3050","FAO TIER 1","kt","365.1106","E","Estimated value",""
"GT","Emissions totals","001","World","7273","Emissions (CO2)","1707","LULUCF","2020","2020","3050","FAO TIER 1","kt","1172688.5143","E","Estimated value",""
