# Global annual emissions for CFC-114 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:47:15.424721+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1978,6,1978.46,17.090410453981256,2.2514523883515714
1979,6,1979.46,17.624965512200024,2.2129823216332767
1980,6,1980.46,18.248938241590277,2.4989032881769413
1981,6,1981.46,18.277561982488724,2.2234917231408633
1982,6,1982.46,17.315149044018476,1.8439786908950824
1983,6,1983.46,14.351398977224711,1.9640683500661522
1984,6,1984.46,17.081420414369322,2.2526519533457474
1985,6,1985.46,20.38860468799667,2.198041909652853
1986,6,1986.46,23.94344941616734,2.275875556723934
1987,6,1987.46,22.984051064400234,2.1588963270858246
1988,6,1988.46,18.115044002556235,2.0634426713006655
1989,6,1989.46,18.767026464807568,2.11287107099414
1990,6,1990.46,17.135774178270946,1.8093857529757509
1991,6,1991.46,11.20481854345603,2.103585539449951
1992,6,1992.46,7.7767355257225,1.8783336779320738
1993,6,1993.46,7.152745022695858,1.7955678743179582
1994,6,1994.46,6.3964778411958845,1.8467994925154572
1995,6,1995.46,4.824841229098383,1.6893066969278006
1996,6,1996.46,3.801749349521588,1.9951598488974085
1997,6,1997.46,3.4627192150863118,1.664970067573296
1998,6,1998.46,3.3790240716229896,1.7648091584644343
1999,6,1999.46,2.7672945517598424,1.6228706325033995
2000,6,2000.46,2.44083717706392,2.0031326456566
2001,6,2001.46,2.441253970925813,1.8267196366474852
2002,6,2002.46,2.6676310861237584,1.925709048736486
2003,6,2003.46,2.747590260354976,1.424747477686676
2004,6,2004.46,1.7165659926736263,1.1251824650695708
2005,6,2005.46,1.5239798256014474,1.0301258407452702
2006,6,2006.46,1.826942787498905,0.9191642580863679
2007,6,2007.46,1.7164744737523139,0.9394677188193172
2008,6,2008.46,1.9287120013194075,0.9124970628638704
2009,6,2009.46,1.655441760475682,0.9307309019948341
2010,6,2010.46,1.6799063477926939,0.9752357322781955
2011,6,2011.46,1.5984127983115142,0.906770538209352
2012,6,2012.46,1.940419705681445,0.8925887465639745
2013,6,2013.46,2.296658485749482,0.9168278171142039
2014,6,2014.46,2.0959438707119955,0.9205604232823272
2015,6,2015.46,2.1146610935224928,0.9112267549042619
2016,6,2016.46,2.2487143961275793,0.8990631986452449
2017,6,2017.46,2.146287537136306,0.9389738754384765
2018,6,2018.46,3.051586082604017,0.9267672011894514
2019,6,2019.46,2.63066500408172,0.8880805267623475
2020,6,2020.46,2.5511978803579223,0.8826988598444986
2021,6,2021.46,3.2551266777294976,1.0974675685096404
