# Global annual emissions for HCFC-142b 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:50:55.130654+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1978,6,1978.46,2.1553734919471026,2.1125033750211433
1979,6,1979.46,2.226138690060907,1.9835926218720539
1980,6,1980.46,1.7206650996528738,2.0996173354642633
1981,6,1981.46,1.7589823746653224,1.9568398218362968
1982,6,1982.46,0.9518212853561536,1.7483756688024272
1983,6,1983.46,2.044886146591718,1.882461146467553
1984,6,1984.46,2.288197587824755,1.8516383969599701
1985,6,1985.46,0.9928840434843808,1.7211837026052694
1986,6,1986.46,2.0200443932022054,1.5854781541974596
1987,6,1987.46,1.4328186165173353,1.2085634259184557
1988,6,1988.46,3.1199900987367815,1.3750403631443513
1989,6,1989.46,5.433106661853913,1.2067160868628726
1990,6,1990.46,11.328848322797933,1.1324022790744888
1991,6,1991.46,14.60667072633371,1.2771507935367064
1992,6,1992.46,21.288452007774755,1.4713189187031646
1993,6,1993.46,24.05594571375649,1.5096867483219207
1994,6,1994.46,24.47754611731774,1.5850271071151067
1995,6,1995.46,25.629059799273694,1.549652117352596
1996,6,1996.46,29.021349269572834,1.728599753594014
1997,6,1997.46,28.622900029258854,1.984568832509126
1998,6,1998.46,26.62558928427031,2.0804297322116705
1999,6,1999.46,29.513454620141616,2.292489638932203
2000,6,2000.46,31.487108097858954,2.4874840326027208
2001,6,2001.46,29.20172887844819,2.6322828363592095
2002,6,2002.46,25.62888736039278,2.7560055810175164
2003,6,2003.46,26.511020170931303,2.9219024865718484
2004,6,2004.46,26.644672858437318,3.0600422852798435
2005,6,2005.46,29.018251352005112,3.1303562085518086
2006,6,2006.46,34.23151693919227,3.3635574368588843
2007,6,2007.46,36.65353327990625,3.479658811943534
2008,6,2008.46,38.50912167971911,3.7930067740543074
2009,6,2009.46,35.564104517271865,3.9167402324774736
2010,6,2010.46,35.25155187173221,4.0637385055522355
2011,6,2011.46,33.591362598302744,4.194325188020171
2012,6,2012.46,30.18609607148335,4.30316094487516
2013,6,2013.46,27.086340732648072,4.327339240540433
2014,6,2014.46,26.03914652641689,4.367101494474372
2015,6,2015.46,25.430290897111778,4.4182126374572395
2016,6,2016.46,24.31915130148892,4.426016453071451
2017,6,2017.46,23.52316156929209,4.430502279976809
2018,6,2018.46,22.863195974117335,4.426139368958561
2019,6,2019.46,21.284738087452258,4.407086010971677
2020,6,2020.46,18.810216582175972,4.37519968678188
2021,6,2021.46,19.219141420073203,4.3493667892775765
