# Global annual emissions for HFC-125 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:51:02.523464+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,0.3925417690479662,2.0313370849225296
1974,6,1974.46,0.2692007214864134,1.6084870867798016
1975,6,1975.46,0.5123288773611421,1.3616869929894182
1976,6,1976.46,0.20820398243085947,1.814350901575191
1977,6,1977.46,0.10394660767633468,1.336198704276519
1978,6,1978.46,0.337658347129036,1.728340599919507
1979,6,1979.46,-0.2847366277092078,1.7182654679031526
1980,6,1980.46,-0.16493889304547338,1.7524317483635876
1981,6,1981.46,0.32116836448403774,1.5381577388487067
1982,6,1982.46,0.5498996798924054,1.501230946847036
1983,6,1983.46,0.695805717678013,1.6758476768576613
1984,6,1984.46,0.5210105874502915,1.3820810073244092
1985,6,1985.46,0.27605197024240624,1.3926561770868289
1986,6,1986.46,0.2956507884664461,1.4244175760346358
1987,6,1987.46,0.6491161711674067,1.2734061158278243
1988,6,1988.46,0.5459145595377777,1.3354140276794935
1989,6,1989.46,-0.04817272408763529,1.4904447879888916
1990,6,1990.46,0.44238772142489324,1.2741455443164733
1991,6,1991.46,-0.7375024871216738,1.454338115913802
1992,6,1992.46,-0.09131887299110557,1.3460699991902685
1993,6,1993.46,1.0648320140832046,1.473833925912301
1994,6,1994.46,1.1802966043213623,1.2349910859745994
1995,6,1995.46,2.164548845195776,1.2238905081100238
1996,6,1996.46,2.905162497990055,1.1551416409937745
1997,6,1997.46,5.203311301887129,1.1736711424855149
1998,6,1998.46,7.490339738091056,0.672661420203984
1999,6,1999.46,5.940465801294072,0.5582769479657153
2000,6,2000.46,8.441281335338774,0.6742319054501148
2001,6,2001.46,8.669371439112831,0.7304499065150812
2002,6,2002.46,11.052151352490645,0.8158166059963354
2003,6,2003.46,13.221499912769952,0.9600961497448048
2004,6,2004.46,14.32657381258546,1.0465468946417984
2005,6,2005.46,15.68802769905097,1.0994579922390075
2006,6,2006.46,18.61683067924942,1.2559075761778602
2007,6,2007.46,21.2740219550309,1.3585990595256268
2008,6,2008.46,25.491371239940634,1.6018228686207454
2009,6,2009.46,27.482684861784264,1.7707492356726307
2010,6,2010.46,34.0658751814135,2.135484379504109
2011,6,2011.46,38.55606380977133,2.433887322521711
2012,6,2012.46,43.65182766449973,2.6705823841152285
2013,6,2013.46,48.591674428293146,3.0585173599208675
2014,6,2014.46,54.788952268205435,3.4916150608534897
2015,6,2015.46,60.04728847581799,3.8067544004545715
2016,6,2016.46,66.72648348956818,4.213309874407743
2017,6,2017.46,76.12005677550673,4.737858550794576
2018,6,2018.46,81.46548740308498,5.159128692939572
2019,6,2019.46,87.22665567228364,5.695136016481149
2020,6,2020.46,92.02277673604499,6.077931226350718
2021,6,2021.46,95.53324288506178,6.51208439969184
