# Global annual emissions for HFC-365mfc 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:57:00.185146+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
2003,6,2003.46,1.1467208672778775,0.20271014082925623
2004,6,2004.46,2.146482317171618,0.33132124780826966
2005,6,2005.46,2.640276875172099,0.40816340678473356
2006,6,2006.46,3.080295024007139,0.4815036312274515
2007,6,2007.46,3.173588120231772,0.5110519219453613
2008,6,2008.46,3.2195007505311692,0.5382910762531348
2009,6,2009.46,3.127675054208767,0.5528920941208595
2010,6,2010.46,3.2420826456761573,0.585035058084066
2011,6,2011.46,3.4647151953656645,0.6243470593837833
2012,6,2012.46,3.7143921029662237,0.6906096512512052
2013,6,2013.46,3.9705174204526243,0.7427949208781836
2014,6,2014.46,4.222663960346712,0.8024591268983335
2015,6,2015.46,4.407475651792166,0.836397087340613
2016,6,2016.46,4.496205520002079,0.879470643392499
2017,6,2017.46,4.500107597541644,0.9048980368317203
2018,6,2018.46,4.447337495186187,0.9268702205443784
2019,6,2019.46,4.373375130445393,0.9349551552650622
2020,6,2020.46,4.315672763721381,0.9610698455341196
2021,6,2021.46,4.294742342704713,0.9914177460768547
