# Global annual emissions for HFC-4310mee 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:56:53.666963+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
2000,6,2000.46,0.08369158139692866,0.5236906613914282
2001,6,2001.46,0.19603340404124733,0.4410366741428513
2002,6,2002.46,0.6085763662040398,0.5023515964822829
2003,6,2003.46,0.879967302623355,0.49604446048747897
2004,6,2004.46,0.9935866412657116,0.49530645319668687
2005,6,2005.46,1.0197565592889661,0.479161375992156
2006,6,2006.46,1.1430415438316197,0.4642992982496316
2007,6,2007.46,1.2555290340800658,0.47696519944232496
2008,6,2008.46,1.2659248880599996,0.4720469330182126
2009,6,2009.46,1.2611311724424803,0.4343940236838695
2010,6,2010.46,1.3587709041104177,0.38001250019214733
2011,6,2011.46,1.3623373970521906,0.31173916904722443
2012,6,2012.46,1.1663678344015,0.30560262565915564
2013,6,2013.46,1.0201105160554207,0.28174593535278714
2014,6,2014.46,0.9884524820829236,0.29852407814339876
2015,6,2015.46,1.1254453817310424,0.3057324484482459
2016,6,2016.46,1.0786936391393482,0.30530990651942747
2017,6,2017.46,1.03673622949124,0.322112309367911
2018,6,2018.46,1.0576715891166744,0.316253513885083
2019,6,2019.46,1.2141752052998271,0.33735802853619135
2020,6,2020.46,1.1603739937501134,0.33595256129709905
2021,6,2021.46,1.1732782105360402,0.4380674792092277
