# Global annual emissions for CFC-11 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:47:35.177544+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1978,6,1978.46,301.6363842839746,21.02141035708063
1979,6,1979.46,285.9659574221958,12.367707555800088
1980,6,1980.46,275.6652465454927,11.060099148786112
1981,6,1981.46,270.75380988965554,11.680470848908657
1982,6,1982.46,263.33428183759776,11.139694154017379
1983,6,1983.46,275.92133565445346,11.437276073796227
1984,6,1984.46,274.66134214135667,11.841950826263012
1985,6,1985.46,291.03413153004567,12.024814740595964
1986,6,1986.46,345.9569208296667,13.483407981637946
1987,6,1987.46,351.0374748180863,13.403387223185012
1988,6,1988.46,313.50243316977765,13.377124466270912
1989,6,1989.46,294.3415419893153,13.20654155051917
1990,6,1990.46,247.69045704443423,13.696149970542164
1991,6,1991.46,202.05995950955162,14.028162928675176
1992,6,1992.46,186.70806522638102,13.052985457255165
1993,6,1993.46,132.34430643158726,12.752772282074146
1994,6,1994.46,115.40860755622943,12.663317498498184
1995,6,1995.46,97.33213866081142,11.911398988789026
1996,6,1996.46,98.97428080097656,11.678677633324858
1997,6,1997.46,87.47881372281707,11.58076672535667
1998,6,1998.46,80.30950610650423,11.687925988641414
1999,6,1999.46,78.64677815368944,11.357266770680468
2000,6,2000.46,84.78086145921634,11.468720543140334
2001,6,2001.46,68.67194959760474,11.645287630764791
2002,6,2002.46,61.475480197748254,11.416996198832017
2003,6,2003.46,72.20212180616093,11.473788551199771
2004,6,2004.46,58.77690368381861,11.186917347450787
2005,6,2005.46,57.07787906457505,11.15275619746817
2006,6,2006.46,53.368970493993366,10.897482469368178
2007,6,2007.46,62.09624262745164,11.034081992968828
2008,6,2008.46,62.66126623998138,10.653338023690774
2009,6,2009.46,60.85316204404048,10.635006535158425
2010,6,2010.46,52.2858706697129,10.771495306359677
2011,6,2011.46,53.65219800920204,10.612961260170247
2012,6,2012.46,59.88995118918973,10.423579999871546
2013,6,2013.46,63.52435876057286,10.590931778180114
2014,6,2014.46,65.94322645663135,10.285033285971794
2015,6,2015.46,65.3604771702065,10.22318927523361
2016,6,2016.46,67.11775149117379,10.475196215247037
2017,6,2017.46,75.247964594023,10.258219927009302
2018,6,2018.46,74.06098507638434,10.234326251987842
2019,6,2019.46,50.1468338680053,10.647507148957542
2020,6,2020.46,48.35796895415942,10.043097896822122
2021,6,2021.46,44.25860712610726,10.416459984675422
