# Global annual emissions for HCFC-141b 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:51:02.931713+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,1.0778460346336942,4.642339395257964
1974,6,1974.46,0.9050195297404571,4.168250585273327
1975,6,1975.46,0.809338144321373,5.024453973421472
1976,6,1976.46,0.7962505862378748,4.684138876019901
1977,6,1977.46,0.851308893352325,4.4714627497054
1978,6,1978.46,0.835142107494903,3.7736176214815145
1979,6,1979.46,0.8153022822607454,3.459230059925242
1980,6,1980.46,0.8624301936833945,4.015811678060935
1981,6,1981.46,0.9474405281107465,3.9055847289236905
1982,6,1982.46,0.7334042011134443,3.650625267108251
1983,6,1983.46,0.7028794742100217,4.02227249946974
1984,6,1984.46,1.0139315705546323,3.2276869903737166
1985,6,1985.46,1.3201020970145692,3.3559753975700595
1986,6,1986.46,1.2321878062793985,3.2587416544039116
1987,6,1987.46,1.0314846883029531,2.955602889833495
1988,6,1988.46,0.6580530533292404,2.900200538994522
1989,6,1989.46,0.2663507844999913,2.7536535514549962
1990,6,1990.46,0.4328458021038208,3.0184820270499286
1991,6,1991.46,-0.5475941477377481,3.0910005431089607
1992,6,1992.46,4.605145896156512,2.960197497697001
1993,6,1993.46,17.984770857996434,2.898249507149582
1994,6,1994.46,29.67596096572447,2.679253310686119
1995,6,1995.46,40.03640033601612,2.0061448279846
1996,6,1996.46,49.1667932690029,2.496220198897049
1997,6,1997.46,50.179484769769026,3.284896355673014
1998,6,1998.46,55.764681627792356,3.756713500718481
1999,6,1999.46,58.441699986409645,4.135580828119662
2000,6,2000.46,62.39260547245785,4.693338021748862
2001,6,2001.46,56.30345644473348,5.2345477083429115
2002,6,2002.46,62.39316829815572,5.634584769939914
2003,6,2003.46,58.26492104002406,6.008746534963211
2004,6,2004.46,51.35090460906709,6.420671205637555
2005,6,2005.46,47.80336815093815,6.426473062038735
2006,6,2006.46,52.40521819814031,6.557954892791903
2007,6,2007.46,55.24181616693941,6.812287923788099
2008,6,2008.46,55.64911950316456,7.022793848028495
2009,6,2009.46,54.746775145786366,7.150369199715398
2010,6,2010.46,61.64656065246657,7.428559563634533
2011,6,2011.46,68.47194198144327,7.7296132216295605
2012,6,2012.46,70.04352549741981,8.110678371469211
2013,6,2013.46,65.67146450993597,8.403920845779242
2014,6,2014.46,64.90148614564187,8.568997839355443
2015,6,2015.46,61.69542897371078,8.681951434388768
2016,6,2016.46,60.206570068727956,8.832472399618545
2017,6,2017.46,54.9883087849441,8.811024522955767
2018,6,2018.46,55.448099065131494,8.749632656287332
2019,6,2019.46,58.418502023633344,8.786412572748741
2020,6,2020.46,58.05482632134481,8.84014962530471
2021,6,2021.46,59.49467643694862,8.930632252175968
