# Global annual emissions for HCFC-22 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:50:55.078600+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1978,6,1978.46,102.7636449165788,22.843078310386552
1979,6,1979.46,108.8860058219041,22.314370330858274
1980,6,1980.46,115.05194136891949,24.860447921514034
1981,6,1981.46,119.60855758129908,24.057284048088114
1982,6,1982.46,121.13989967190719,23.72528048432026
1983,6,1983.46,127.42211155181285,26.496364462203328
1984,6,1984.46,138.0110280598514,23.01955779528996
1985,6,1985.46,164.82783080544468,24.454054439691987
1986,6,1986.46,168.88444489459218,25.701077954030335
1987,6,1987.46,147.3402998532183,24.951119030320264
1988,6,1988.46,186.29009272734547,26.29059744776089
1989,6,1989.46,205.80938989384154,27.041075679509422
1990,6,1990.46,213.5272486930553,28.301529196915922
1991,6,1991.46,209.48099788626277,28.171100203011395
1992,6,1992.46,211.5180779959105,30.06525650004971
1993,6,1993.46,215.43570469160912,29.791384562171277
1994,6,1994.46,224.7139314409964,30.475110248275584
1995,6,1995.46,239.0063684934139,31.370395240536627
1996,6,1996.46,237.50230839983632,31.999278169971426
1997,6,1997.46,243.29079973098123,33.1604371356785
1998,6,1998.46,240.09074376666607,30.481556736828786
1999,6,1999.46,261.7555671205068,30.668494420575808
2000,6,2000.46,281.3487649128648,31.8665920502483
2001,6,2001.46,277.6155774106737,33.147568340196486
2002,6,2002.46,285.9671101464145,34.284788940709205
2003,6,2003.46,287.2256303626378,35.465024266095575
2004,6,2004.46,300.17159015062947,36.594380945102515
2005,6,2005.46,313.4092326216305,37.71802685009035
2006,6,2006.46,335.91344493637945,39.057857761820294
2007,6,2007.46,360.49582403069525,40.61847038958996
2008,6,2008.46,375.6994829460654,42.286796027942096
2009,6,2009.46,368.335518664395,43.97531808812976
2010,6,2010.46,390.5402939219942,45.75131210972661
2011,6,2011.46,377.1539768664477,46.79826976944741
2012,6,2012.46,379.7755218677105,48.69166976227813
2013,6,2013.46,374.97022819487705,49.507933219439494
2014,6,2014.46,379.85549701025815,50.781753590558345
2015,6,2015.46,368.541172885139,50.9238628604383
2016,6,2016.46,375.1408859075262,52.66105892403328
2017,6,2017.46,371.16958710667404,52.8178188960907
2018,6,2018.46,371.96257100872054,53.86314498356287
2019,6,2019.46,364.7740057603855,54.777025550849004
2020,6,2020.46,347.52844492434366,54.65373746076577
2021,6,2021.46,351.3245532436834,55.55242272563539
