# Global annual emissions for HFC-134a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:52:39.251975+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,2.787794971271069,10.013477974819132
1974,6,1974.46,2.175449891583412,8.716497510715358
1975,6,1975.46,1.9092568847263465,7.66412920980652
1976,6,1976.46,1.841387365697301,9.991952331168614
1977,6,1977.46,1.8245502114441479,6.75484978428436
1978,6,1978.46,1.5108009047689848,6.393061108927981
1979,6,1979.46,1.0335045795654878,6.800873369303499
1980,6,1980.46,0.8394886273890734,8.877716668622377
1981,6,1981.46,1.2742439821449807,7.866646812333287
1982,6,1982.46,1.5231361504993401,6.952599916258321
1983,6,1983.46,1.2364974657684797,6.632865455587539
1984,6,1984.46,1.4586609436228173,5.8677797983593925
1985,6,1985.46,1.3044653208635282,6.067561688551613
1986,6,1986.46,1.0478387875918997,7.221696541905537
1987,6,1987.46,1.3000395215058234,6.165659755169693
1988,6,1988.46,1.2346798676153412,6.328314916846701
1989,6,1989.46,1.492474518759991,6.620449776824838
1990,6,1990.46,1.0421189634653274,6.456287396424949
1991,6,1991.46,0.30548026294724506,7.1277564919554735
1992,6,1992.46,1.3955970399164102,6.819551813972478
1993,6,1993.46,5.604745064626982,6.9966795366708965
1994,6,1994.46,13.506178876145894,6.294008330861164
1995,6,1995.46,20.73111212343972,1.9273398794931142
1996,6,1996.46,33.81016973934499,2.1665375107156204
1997,6,1997.46,41.1200699128208,2.554381433858449
1998,6,1998.46,56.733124682885354,3.0723666245188768
1999,6,1999.46,70.04168686471844,3.564531660896206
2000,6,2000.46,77.63263922965757,4.21130650383262
2001,6,2001.46,84.88292239293678,5.111523372338472
2002,6,2002.46,99.2150272465504,5.997389041465045
2003,6,2003.46,108.21066747843044,6.7553179863559905
2004,6,2004.46,116.7379155289491,7.894475220983337
2005,6,2005.46,122.77491703465171,8.926192638881703
2006,6,2006.46,126.15766711079284,9.849193230463571
2007,6,2007.46,136.80705307589884,10.810481740740117
2008,6,2008.46,147.3267189995013,11.84400474092968
2009,6,2009.46,153.1899298044407,13.291243026844894
2010,6,2010.46,168.8065636291894,14.391220693256429
2011,6,2011.46,170.6500579994291,15.681192454460628
2012,6,2012.46,177.58796435680165,16.758008681193285
2013,6,2013.46,185.0360541398179,17.678705525032612
2014,6,2014.46,197.93730445031437,19.307702303581127
2015,6,2015.46,209.9089856789633,20.62660783285329
2016,6,2016.46,226.21059646364054,21.836432644259123
2017,6,2017.46,237.2025162832288,23.431014355101002
2018,6,2018.46,239.49865670050943,25.09156572761127
2019,6,2019.46,244.81823622105813,26.300687149374184
2020,6,2020.46,247.49258667859866,27.735067692907226
2021,6,2021.46,260.4992032100767,29.164107528992826
