# Global annual emissions for HFC-227ea 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:56:13.443721+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,0.07816710121301185,0.4894973352990357
1974,6,1974.46,0.05215034787329387,0.38988756858094215
1975,6,1975.46,0.030421195763437936,0.37371895696524
1976,6,1976.46,0.01683669721046499,0.4407860653484475
1977,6,1977.46,0.033945223381579126,0.36110934230077696
1978,6,1978.46,0.0807320214835272,0.40163523603709766
1979,6,1979.46,0.12683271723312828,0.4455789287242334
1980,6,1980.46,0.11662136436575565,0.4584237244091807
1981,6,1981.46,0.07129232408601638,0.40896267229859234
1982,6,1982.46,0.06394144514160871,0.4514845777529806
1983,6,1983.46,0.07719356760435403,0.5072352485060847
1984,6,1984.46,0.05862733288199706,0.40009060679907543
1985,6,1985.46,0.05417460541661967,0.3631183708697685
1986,6,1986.46,0.0865778756083273,0.4148072179476021
1987,6,1987.46,0.16961977634059622,0.3873001276555815
1988,6,1988.46,0.18048978704200636,0.4232807295371301
1989,6,1989.46,0.12208919134423013,0.4067211342852611
1990,6,1990.46,0.0018037339016245824,0.4170599728274217
1991,6,1991.46,-0.13222734354367544,0.37533490638929873
1992,6,1992.46,-0.07331608118984417,0.3509109871560577
1993,6,1993.46,0.15874631930559735,0.3678043208060592
1994,6,1994.46,0.10934184088595474,0.32884446675020995
1995,6,1995.46,0.15233547479792975,0.31534242215831515
1996,6,1996.46,0.46439691500044206,0.34930789587924777
1997,6,1997.46,0.33203816350614357,0.3230995434186212
1998,6,1998.46,0.4843677750871258,0.33364201158598095
1999,6,1999.46,0.41469381748456247,0.3406322639599268
2000,6,2000.46,0.9313104427668292,0.360429933787372
2001,6,2001.46,0.6640235787945145,0.35442970535583634
2002,6,2002.46,1.1057805120097672,0.39163090255927546
2003,6,2003.46,1.2956414781095942,0.38928901272756566
2004,6,2004.46,1.617895040716138,0.3666968286176309
2005,6,2005.46,1.8119446951185327,0.380857402048491
2006,6,2006.46,2.1627180368908325,0.37910993852158714
2007,6,2007.46,2.206732009568685,0.2737748689348716
2008,6,2008.46,2.5538648183798394,0.2989811621425313
2009,6,2009.46,2.7401484615054876,0.31186544201773164
2010,6,2010.46,2.9362870809021224,0.3457698105817822
2011,6,2011.46,3.04022474608367,0.35175195843564133
2012,6,2012.46,3.36336505066986,0.3915925701307436
2013,6,2013.46,3.671971041883826,0.4167534565256988
2014,6,2014.46,3.799329600171536,0.43248759004911147
2015,6,2015.46,4.03497625497305,0.4659093948755242
2016,6,2016.46,4.516379181253276,0.4987025104834486
2017,6,2017.46,4.868193346408097,0.5492289322108137
2018,6,2018.46,5.2171181899606625,0.5745123406087805
2019,6,2019.46,5.715476081547398,0.6284734795517516
2020,6,2020.46,6.319226398440681,0.6934293552947919
2021,6,2021.46,6.63389518876831,0.787854100991302
