# Global annual emissions for HFC-245fa 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:56:14.214088+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,0.26842902951374015,0.2992946816449907
1974,6,1974.46,0.23851047367818978,0.2869608114690142
1975,6,1975.46,0.22459976535710524,0.2635734017382656
1976,6,1976.46,0.2074000092914119,0.2859576091934377
1977,6,1977.46,0.19462626393284665,0.25920104183430054
1978,6,1978.46,0.1806128258729487,0.2877690550768613
1979,6,1979.46,0.13784030642789702,0.2907469987140239
1980,6,1980.46,0.12123338355045377,0.2938032171212528
1981,6,1981.46,0.12956865411582896,0.27788833061687745
1982,6,1982.46,0.154012002315433,0.29128460661058525
1983,6,1983.46,0.1869017737790486,0.3076606071009447
1984,6,1984.46,0.2129797807615148,0.27518390413059207
1985,6,1985.46,0.20535294588184883,0.2577004512095457
1986,6,1986.46,0.19059513789763827,0.27205873651589935
1987,6,1987.46,0.11700015598900393,0.270514928012634
1988,6,1988.46,0.07599946933319046,0.28058621220421576
1989,6,1989.46,0.05322643970578156,0.28315079442641317
1990,6,1990.46,0.04854846832211024,0.2855501881516634
1991,6,1991.46,0.05268094251081834,0.2894396593160432
1992,6,1992.46,0.06981069989373623,0.29047965106630363
1993,6,1993.46,0.08707180440985951,0.26978407430032747
1994,6,1994.46,0.0965822558769105,0.2615978520798012
1995,6,1995.46,0.0992109161956165,0.2637566190724097
1996,6,1996.46,0.11612977585622275,0.26360994569295126
1997,6,1997.46,0.1536167958704624,0.25695066065544353
1998,6,1998.46,0.02538497512072979,0.24294889749084606
1999,6,1999.46,-0.10416638987300075,0.2494178975394168
2000,6,2000.46,-0.23337650562312717,0.2537177592916625
2001,6,2001.46,-0.2086684555192275,0.24991707430373253
2002,6,2002.46,0.31790658317762244,0.24213847013369572
2003,6,2003.46,2.103882627976933,0.294941411768264
2004,6,2004.46,3.915606380202492,0.4003912460377156
2005,6,2005.46,5.6444677896265185,0.5441576293740651
2006,6,2006.46,6.958005437953844,0.6908935223757476
2007,6,2007.46,7.250507227172602,0.7836283010228114
2008,6,2008.46,7.405034074049209,0.8743917979287503
2009,6,2009.46,7.3285211097515175,0.9327014195594894
2010,6,2010.46,7.86116269545978,1.0521267879691267
2011,6,2011.46,8.594621666321457,1.1641021158636276
2012,6,2012.46,9.25131562268376,1.2813184534897377
2013,6,2013.46,9.74962116859477,1.4127952255821765
2014,6,2014.46,10.344174416060453,1.5308217728587172
2015,6,2015.46,11.085609747047483,1.6511938165113325
2016,6,2016.46,11.921123613364754,1.7812058011449612
2017,6,2017.46,12.693693505664525,1.9293256711959659
2018,6,2018.46,13.280821274670428,2.0415783408744375
2019,6,2019.46,13.617145229458115,2.1835593322605127
2020,6,2020.46,13.682335192651122,2.2974847703166006
2021,6,2021.46,13.674183216315653,2.4156757288389876
